,store_name,state,city,zip,store_id,lat,lon
115,Orange,TX,Orange,77630,8419,30.0709,-93.8659
116,Arlington,TX,Arlington,76017,541,32.6555,-97.1599
117,Brownwood,TX,Brownwood,76801,6820,31.7754,-98.9915
118,Market-Street,TX,Houston,77015,569,29.7853,-95.1852
119,Granbury,TX,Granbury,76048,6571,32.425,-97.7742
120,Clear-Lake-Shores,TX,Clear-Lake-Shores,77565,6560,29.5236,-95.0276
121,Round-Rock,TX,Round-Rock,78664,504,30.5145,-97.668
122,Lewisville,TX,Lewisville,75067,524,33.0198,-96.9925
123,Slaughter-Lane,TX,Austin,78744,6563,30.1876,-97.7472
124,Longview,TX,Longview,75605,6545,32.5547,-94.7767
125,Lubbock,TX,Lubbock,79414,505,33.5497,-101.9187
126,W-Mckinney,TX,Mckinney,75071,6809,33.1976,-96.6153
127,Houston-Hwy-290,TX,Houston,77040,6525,29.8744,-95.5278
128,Four-Points-W-Austin,TX,Austin,78726,8418,30.43,-97.8326
129,Bulverde,TX,Bulverde,78163,6989,29.7767,-98.4626
130,Cedar-Hill,TX,Cedar-Hill,75104,530,32.5885,-96.9438
131,White-Settlement,TX,White-Settlement,76108,8521,32.7822,-97.4969
132,N-San-Antonio,TX,San-Antonio,78249,588,29.5612,-98.6117
133,Bandera-Rd,TX,San-Antonio,78249,6547,29.5612,-98.6117
134,Bastrop,TX,Bastrop,78602,6575,30.1388,-97.2921
135,Irving,TX,Irving,75061,563,32.8267,-96.9633
136,Plano,TX,Plano,75074,539,33.0277,-96.6777
137,Humble,TX,Humble,77338,576,30.0041,-95.2825
138,Pasadena,TX,Pasadena,77505,565,29.6518,-95.1464
139,Ft-Worth,TX,Fort-Worth,76109,542,32.7002,-97.3789
140,Porter,TX,Porter,77365,6523,30.1237,-95.2686
141,Coit-Rd,TX,Richardson,75080,6504,32.966,-96.7452
142,Culebra,TX,San-Antonio,78251,6818,29.4597,-98.6555
143,Del-Rio,TX,Del-Rio,78840,6832,29.4102,-100.8932
144,Burleson,TX,Burleson,76028,8438,32.5316,-97.309
145,Rowlett,TX,Rowlett,75088,8951,32.9031,-96.5472
146,Lake-Jackson,TX,Lake-Jackson,77566,6517,29.0393,-95.4401
147,League-City,TX,League-City,77573,1853,29.5173,-95.0963
148,The-Colony,TX,The-Colony,75056,6562,33.094,-96.8836
149,Seguin,TX,Seguin,78155,8437,29.5613,-97.9628
150,Cambray,TX,San-Antonio,78229,581,29.5042,-98.5697
151,Lumpkin,TX,Houston,77043,571,29.8052,-95.5607
152,Sw-San-Antonio,TX,San-Antonio,78227,586,29.4027,-98.6433
153,Sugar-Land,TX,Sugar-Land,77478,574,29.6196,-95.607
154,Beltway-8,TX,Houston,77072,584,29.699,-95.5862
155,College-Station,TX,College-Station,77840,6559,30.6045,-96.3123
156,Southlake-TX,TX,Southlake,76092,587,32.9485,-97.1524
157,W-El-Paso,TX,El-Paso,79912,523,31.8383,-106.5364
158,Abilene,TX,Abilene,79606,6583,32.392,-99.7746
159,Weatherford,TX,Weatherford,76086,6515,32.7549,-97.7899
160,Galveston,TX,Galveston,77551,6574,29.2766,-94.8303
161,Dripping-Springs,TX,Dripping-Springs,78620,8995,30.2268,-98.1029
162,Bitters-Rd,TX,San-Antonio,78232,582,29.5863,-98.4769
163,Mission,TX,Mission,78572,8519,26.2159,-98.3253
164,Little-York,TX,Houston,77093,6806,29.8617,-95.3403
165,E-Ft-Worth,TX,Fort-Worth,76112,6534,32.7493,-97.2181
166,North-Irving,TX,Irving,75063,6557,32.9247,-96.9598
167,Spring,TX,Spring,77373,568,30.0532,-95.3773
168,Flower-Mound,TX,Flower-Mound,75022,6572,33.0268,-97.1193
169,Texarkana,TX,Texarkana,75503,6580,33.4669,-94.0774
170,Corsicana,TX,Corsicana,75109,6817,31.9937,-96.4199
171,Odessa,TX,Odessa,79762,562,31.889,-102.3548
172,Mansfield-TX,TX,Mansfield,76063,6568,32.5773,-97.1416
173,Pin-Oak,TX,Houston,77081,566,29.7119,-95.4845
174,Weslaco,TX,Weslaco,78599,6577,26.1595,-97.9908
175,Carrollton,TX,Carrollton,75006,6555,32.9657,-96.8825
176,Woodlands,TX,Conroe,77385,6516,30.1877,-95.4288
177,Brenham-TX,TX,Brenham,77833,8518,30.1774,-96.4028
178,Bee-Cave,TX,Bee-Cave,78738,6531,30.3337,-97.9824
