,store_name,state,city,zip,store_id,lat,lon
170,East-San-Jose,CA,San-Jose,95127,6672,37.3692,-121.8208
171,Kifer-Rd,CA,Sunnyvale,94086,640,37.3764,-122.0238
172,El-Cerrito,CA,El-Cerrito,94530,643,37.9156,-122.2985
173,W-Stockton,CA,Stockton,95219,1022,38.01,-121.3698
174,Santa-Clarita,CA,Santa-Clarita,91351,653,34.4262,-118.449
175,Industry,CA,City-Of-Industry,91748,607,33.9818,-117.8969
176,Crescent-City,CA,Crescent-City,95531,8524,41.7817,-124.1332
177,Barstow,CA,Barstow,92311,6972,34.8914,-117.0387
178,Garden-Grove,CA,Garden-Grove,92843,6639,33.7671,-117.929
179,Glendale,CA,Glendale,91204,649,34.1379,-118.2599
180,Costa-Mesa,CA,Costa-Mesa,92626,6664,33.6801,-117.9085
181,Red-Bluff,CA,Red-Bluff,96080,8492,40.1795,-122.2383
182,Emeryville,CA,Emeryville,94608,627,37.8365,-122.2804
183,Clovis,CA,Clovis,93612,664,36.8149,-119.7106
184,Whittier,CA,Whittier,90606,6684,33.9777,-118.0658
185,Tustin,CA,Tustin,92782,603,33.7346,-117.7869
186,Downey,CA,Downey,90241,6627,33.9416,-118.1306
187,Pittsburg,CA,Pittsburg,94565,644,38.0031,-121.9172
188,Oroville,CA,Oroville,95965,8975,39.6054,-121.5751
189,Stanton,CA,Stanton,90680,6952,33.7991,-117.9956
190,Oxnard,CA,Oxnard,93036,1040,34.2351,-119.182
191,Inglewood,CA,Inglewood,90303,1010,33.9377,-118.3321
192,Vacaville,CA,Vacaville,95687,1043,38.3482,-121.9538
193,Baldwin-Park,CA,Baldwin-Park,91706,6663,34.0964,-117.9682
194,Morgan-Hill,CA,Morgan-Hill,95037,8572,37.1353,-121.6501
195,Seaside,CA,Seaside,93955,6967,36.6217,-121.7935
196,Beaumont-CA,CA,Beaumont,92223,8987,33.9504,-116.9701
197,Roseville-CA,CA,Roseville,95661,636,38.7346,-121.234
198,Turlock,CA,Turlock,95380,1001,37.4888,-120.8535
199,Redding,CA,Redding,96003,6682,40.6278,-122.353
200,Simi-Valley,CA,Simi-Valley,93065,6640,34.2656,-118.7653
201,La-Quinta,CA,La-Quinta,92253,6630,33.6685,-116.3081
202,Nw-Victorville,CA,Victorville,92394,1844,34.5563,-117.3528
203,Rancho-Cordova,CA,Rancho-Cordova,95742,652,38.5981,-121.2153
204,Mira-Mesa,CA,San-Diego,92126,6679,32.9161,-117.1402
205,Paramount,CA,Paramount,90723,1037,33.8969,-118.1632
206,Hawthorne,CA,Hawthorne,90250,620,33.9143,-118.3493
207,Stockton,CA,Stockton,95212,662,38.0315,-121.2589
208,Chico,CA,Chico,95928,6609,39.7224,-121.8113
209,Gilroy,CA,Gilroy,95020,6677,37.0139,-121.5773
210,Carmel-Mtn,CA,San-Diego,92128,669,33.0067,-117.069
211,Vista,CA,Vista,92081,1074,33.1644,-117.2403
212,N-Santa-Ana,CA,Santa-Ana,92705,6680,33.754,-117.7919
213,Oakland,CA,Oakland,94601,1007,37.7806,-122.2166
214,Capitol-Expressway,CA,San-Jose,95136,6621,37.2685,-121.849
215,Eastvale,CA,Mira-Loma,91752,1084,33.9938,-117.5236
216,Ridgecrest,CA,Ridgecrest,93555,1089,35.6225,-117.6709
217,S-San-Bernardino,CA,San-Bernardino,92408,610,34.0831,-117.2711
218,Hercules,CA,Hercules,94547,1044,38.0066,-122.2637
219,Daly-City,CA,Daly-City,94015,1092,37.6787,-122.478
220,Corona,CA,Corona,92879,601,33.8797,-117.5354
221,Monterey-Park,CA,Monterey-Park,91755,2304,34.048,-118.115
222,Woodland,CA,Woodland,95776,1068,38.6808,-121.7411
223,Porterville,CA,Porterville,93257,1080,36.0686,-119.0315
224,Compton-CA,CA,Compton,90220,1858,33.8748,-118.2402
225,Folsom,CA,Folsom,95630,6675,38.6709,-121.1529
226,Concord,CA,Concord,94520,634,37.9823,-122.0362
227,Santa-Ana,CA,Santa-Ana,92704,606,33.7249,-117.909
228,Madera,CA,Madera,93637,1088,36.9403,-120.082
229,Anaheim-Hills,CA,Anaheim,92807,6643,33.8544,-117.7858
230,Lemon-Grove,CA,Lemon-Grove,91945,659,32.7332,-117.0326
231,Fresno,CA,Fresno,93711,663,36.8303,-119.8319
