store_name,state,city,zip,store_id,lat,lon
Eastlake,CA,Chula-Vista,91915,1030,32.6315,-116.9408
New-Castle,DE,New-Castle,19720,1605,39.5929,-75.6515
Springfield-Gardens,NY,Jamaica,11434,1238,40.6775,-73.7758
Athens,GA,Athens,30606,129,33.9461,-83.41799999999999
Villa-Rica,GA,Villa-Rica,30180,6861,33.7173,-84.9297
E-Fort-Lauderdale,FL,Fort-Lauderdale,33304,6372,26.1387,-80.1218
W-Shrevport,LA,Shreveport,71129,381,32.4141,-93.8742
Thompson-Lane,TN,Nashville,37204,732,36.1067,-86.7743
Carrollton-GA,GA,Carrollton,30117,132,33.5798,-85.0812
Foley,AL,Foley,36535,802,30.4007,-87.6857
Upper-Darby,PA,Primos-Secane,19018,4114,39.9218,-75.2876
Rochester-NH,NH,Rochester,03867,3489,43.3045,-70.9756
Riverton,UT,Riverton,84065,8566,40.4954,-111.9444
Gates,NY,Rochester,14624,1278,43.1216,-77.7311
Precinct-Line,TX,North-Richland-Hills,76182,6533,32.8828,-97.2098
Johnson-City,TN,Johnson-City,37604,701,36.3107,-82.381
Laguna-Hills,CA,Laguna-Hills,92637,6628,33.6103,-117.7253
Lake-Forest,CA,Lake-Forest,92630,6668,33.6437,-117.6868
El-Toro,CA,Lake-Forest,92630,1840,33.6437,-117.6868
Germantown,MD,Germantown,20876,2560,39.188,-77.2358
N-Myrtle-Beach,SC,North-Myrtle-Beach,29582,1121,33.8343,-78.6606
Largo,FL,Largo,33771,6321,27.9085,-82.7568
Norwalk,CT,Norwalk,06854,6204,41.0957,-73.4285
Coeur-D-Alene,ID,Coeur-D-Alene,83815,1803,47.7248,-116.789
Claremont,NH,Claremont,03743,3408,43.3679,-72.3422
Ontario-OR,OR,Ontario,97914,4025,44.0416,-116.9783
Williston,VT,Williston,05495,4501,44.4367,-73.0957
Port-Charlotte,FL,Port-Charlotte,33948,201,26.9827,-82.1412
Wisconsin-Dell,WI,Lake-Delton,53940,4929,43.5939,-89.7912
Marion,IL,Marion,62959,1979,37.7257,-88.9294
Pioneer-Hills,CO,Aurora,80015,1523,39.6255,-104.7874
Huntsville-TX,TX,Huntsville,77320,6578,30.846999999999998,-95.59700000000001
Omak,WA,Omak,98841,4748,48.4143,-119.5272
Hemet,CA,Hemet,92545,6637,33.7399,-117.0151
Nw-Oklahoma-City,OK,Oklahoma-City,73132,3909,35.5583,-97.6375
Se-Military,TX,San-Antonio,78223,6988,29.3579,-98.4356
Fair-Ave,TX,San-Antonio,78223,503,29.3579,-98.4356
Jacksonville-IL,IL,Jacksonville,62650,8430,39.7339,-90.229
N-Fort-Worth,TX,Fort-Worth,76137,6814,32.8664,-97.2891
Central-Plano,TX,Plano,75023,6833,33.055,-96.7365
West-Covina,CA,West-Covina,91792,8463,34.0229,-117.8975
Sterling-CO,CO,Sterling,80751,1545,40.6306,-103.2212
Milford,OH,Milford,45150,3844,39.1657,-84.23299999999999
Lindon,UT,Lindon,84042,4407,40.3412,-111.7144
Lodi,NJ,Lodi,07644,932,40.8764,-74.0838
Fayetteville-GA,GA,Fayetteville,30214,127,33.4679,-84.4806
Palm-Springs,CA,Palm-Springs,92264,8526,33.8018,-116.51700000000001
Willowbrook,TX,Houston,77065,6838,29.9319,-95.6106
Lafayette,LA,Lafayette,70503,360,30.1843,-92.0497
Bothell,WA,Bothell,98011,4712,47.7497,-122.2159
Elk-Grove-Village,IL,Elk-Grove-Village,60007,6701,42.0076,-87.9931
Bollinger,CA,San-Jose,95129,6635,37.3066,-122.0002
Post-Road,IN,Indianapolis,46219,2011,39.7821,-86.0495
San-Jose,CA,San-Jose,95123,622,37.2458,-121.8306
Armitage-Cicero,IL,Chicago,60639,1974,41.9202,-87.7535
Monroe-GA,GA,Monroe,30655,1774,33.7883,-83.7013
Temecula,CA,Temecula,92592,1028,33.4983,-117.0958
Pahrump,NV,Pahrump,89060,3322,36.2645,-116.0393
Manchester-CT,CT,Manchester,06042,6207,41.7966,-72.5292
Laredo,TX,Laredo,78041,6540,27.5569,-99.4907
Branson,MO,Branson,65616,3038,36.669000000000004,-93.2481
Provo,UT,Provo,84601,4416,40.2319,-111.6755
Matthews,NC,Matthews,28105,3602,35.1149,-80.705
